City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
178,Constitucion,CL,2022-03-06 22:18:02,-35.3333,-72.4167,62.46,73,3,9.66
179,Saint George,US,2022-03-06 22:18:03,37.1041,-113.5841,53.64,34,100,10.36
180,Yulara,AU,2022-03-06 22:18:04,-25.2406,130.9889,71.44,49,40,8.05
181,Hithadhoo,MV,2022-03-06 22:19:05,-0.6,73.0833,82.35,70,29,10.04
182,Guaruja,BR,2022-03-06 22:19:06,-23.9931,-46.2564,82.17,26,3,9.64
183,Dingle,PH,2022-03-06 22:19:08,10.9995,122.6711,73.42,89,100,6.26
184,Escarcega,MX,2022-03-06 22:19:09,18.6089,-90.7454,93.99,34,77,8.08
185,Cap Malheureux,MU,2022-03-06 22:19:10,-19.9842,57.6142,79.47,84,100,8.99
186,Avera,US,2022-03-06 22:19:10,33.194,-82.5271,83.71,42,0,8.14
187,Burgeo,CA,2022-03-06 22:19:11,47.6167,-57.6152,23.65,90,100,6.96
188,Sao Filipe,CV,2022-03-06 22:19:14,14.8961,-24.4956,71.22,69,75,16.31
189,Byron Bay,AU,2022-03-06 22:19:16,-28.65,153.6167,78.75,90,54,5.03
190,Barrow,US,2022-03-06 22:19:20,71.2906,-156.7887,6.82,78,100,12.66
191,Grimmen,DE,2022-03-06 22:19:22,54.1121,13.0405,33.03,89,51,6.64
192,Wonthaggi,AU,2022-03-06 22:19:23,-38.6044,145.5913,65.37,81,97,15.79
193,Dali,CN,2022-03-06 22:19:25,25.7,100.1833,48.27,51,0,3.89
194,Linxia,CN,2022-03-06 22:19:27,35.6003,103.2064,34.81,29,0,4.9
195,Carnarvon,AU,2022-03-06 22:19:28,-24.8667,113.6333,69.87,73,0,6.91
196,Cabo San Lucas,MX,2022-03-06 22:16:21,22.8909,-109.9124,79.61,64,0,13.8
197,Raudeberg,NO,2022-03-06 22:19:30,61.9875,5.1352,40.96,85,100,17.85
198,Hasaki,JP,2022-03-06 22:19:31,35.7333,140.8333,41.4,40,0,13.27
199,Hammerfest,NO,2022-03-06 22:19:33,70.6634,23.6821,27.05,80,75,4.61
200,Samarai,PG,2022-03-06 22:19:35,-10.6167,150.6667,82.9,77,100,5.88
201,Isla Mujeres,MX,2022-03-06 22:19:35,21.2311,-86.731,82.45,79,37,15.21
202,Itarema,BR,2022-03-06 22:19:35,-2.9248,-39.9167,77.86,85,76,8.97
203,Hilo,US,2022-03-06 22:19:36,19.7297,-155.09,78.53,70,75,6.91
204,Bemidji,US,2022-03-06 22:17:29,47.4736,-94.8803,28.06,74,100,14.97
205,Karratha,AU,2022-03-06 22:19:39,-20.7377,116.8463,82.45,65,2,9.33
206,Goderich,CA,2022-03-06 22:15:25,43.7501,-81.7165,38.21,80,100,11.5
207,Hashtrud,IR,2022-03-06 22:19:41,37.4779,47.0508,34.86,71,93,6.49
208,Dayong,CN,2022-03-06 22:19:42,25.0209,118.2898,58.89,92,100,2.66
209,Lakeside,US,2022-03-06 22:18:47,30.13,-81.7682,84.51,57,40,17.27
210,Provideniya,RU,2022-03-06 22:18:18,64.3833,-173.3,10.81,93,100,16.62
211,Liepaja,LV,2022-03-06 22:19:46,56.5419,21.0367,33.78,86,0,3.44
212,Benguela,AO,2022-03-06 22:19:47,-12.5763,13.4055,78.21,76,98,2.59
213,Ahipara,NZ,2022-03-06 22:19:49,-35.1667,173.1667,72.81,64,96,8.21
214,Taoudenni,ML,2022-03-06 22:19:50,22.6783,-3.9836,73.78,12,0,13.42
215,Shelburne,CA,2022-03-06 22:19:51,44.0787,-80.2041,39.56,95,95,27.89
216,Caucaia,BR,2022-03-06 22:19:52,-3.7361,-38.6531,76.95,83,75,6.91
217,Tuensang,IN,2022-03-06 22:19:52,26.2833,94.8333,56.25,61,0,3.71
218,Kavieng,PG,2022-03-06 22:19:53,-2.5744,150.7967,78.4,83,100,1.54
219,Hofn,IS,2022-03-06 22:19:53,64.2539,-15.2082,33.57,51,74,6.44
220,Ukiah,US,2022-03-06 22:19:55,39.1502,-123.2078,64.58,36,0,1.99
221,Bambous Virieux,MU,2022-03-06 22:19:57,-20.3428,57.7575,79.21,89,75,12.66
222,Alexandria,EG,2022-03-06 22:16:02,31.2156,29.9553,59.09,83,3,8.9
223,Vostok,RU,2022-03-06 22:20:00,46.4856,135.8833,5.11,98,95,4.03
224,Grindavik,IS,2022-03-06 22:20:01,63.8424,-22.4338,36.07,60,40,25.32
225,Komsomolskiy,UZ,2022-03-06 22:20:02,40.4272,71.7189,50.72,57,75,4.61
226,Torbay,CA,2022-03-06 22:17:47,47.6666,-52.7314,25.57,63,100,6.91
227,Richards Bay,ZA,2022-03-06 22:21:03,-28.783,32.0377,71.94,94,1,6.35
228,Santa Rosalia,MX,2022-03-06 22:21:03,27.3167,-112.2833,62.74,46,24,9.84
229,Tarko-Sale,RU,2022-03-06 22:21:04,64.9225,77.785,-24.7,98,100,9.73
230,Clyde River,CA,2022-03-06 22:21:05,70.4692,-68.5914,-5.57,77,0,9.22
231,Abnub,EG,2022-03-06 22:21:06,27.2696,31.1511,66.02,24,100,8.03
232,Urengoy,RU,2022-03-06 22:21:07,65.9667,78.3667,-38.38,100,63,5.39
233,Upernavik,GL,2022-03-06 22:21:08,72.7868,-56.1549,6.37,93,100,2.68
234,Sola,VU,2022-03-06 22:21:09,-13.8833,167.55,83.37,71,50,6.55
235,Codrington,AU,2022-03-06 22:21:09,-38.2667,141.9667,60.15,74,6,8.61
236,Talara,PE,2022-03-06 22:21:10,-4.5772,-81.2719,81.36,61,0,9.22
237,Akdagmadeni,TR,2022-03-06 22:21:10,39.6603,35.8836,29.79,88,51,2.33
238,Lebu,CL,2022-03-06 22:21:11,-37.6167,-73.65,60.24,80,33,10.33
239,Payerne,CH,2022-03-06 22:21:12,46.822,6.9361,34.74,70,1,6.91
240,Adrar,MR,2022-03-06 22:21:13,20.5022,-10.0711,64.92,14,0,11.83
241,Jumla,NP,2022-03-06 22:20:55,29.2747,82.1838,42.35,43,100,5.55
242,Along,IN,2022-03-06 22:21:15,28.1667,94.7667,55.38,68,0,2.19
243,Wangqing,CN,2022-03-06 22:21:16,43.3218,129.7634,17.33,79,60,1.99
244,Pochutla,MX,2022-03-06 22:21:18,15.7432,-96.4661,89.82,43,2,9.19
245,Bousso,TD,2022-03-06 22:21:19,10.4795,16.7117,90.07,18,59,5.77
246,Mbandaka,CD,2022-03-06 22:21:21,0.0487,18.2603,71.1,93,100,5.5
247,Ola,RU,2022-03-06 22:21:23,59.5833,151.2833,-4.74,87,51,8.63
248,Tacoronte,ES,2022-03-06 22:21:24,28.4769,-16.4102,58.55,74,75,18.01
249,San Juan,AR,2022-03-06 22:18:56,-31.5375,-68.5364,87.69,28,0,17.49
250,Bataipora,BR,2022-03-06 22:21:26,-22.2953,-53.2711,81.23,58,70,5.84
251,Vanavara,RU,2022-03-06 22:21:27,60.34,102.2797,-0.44,96,100,4.29
252,Srednekolymsk,RU,2022-03-06 22:21:29,67.45,153.6833,-30.44,100,92,5.37
253,Alofi,NU,2022-03-06 22:21:30,-19.0595,-169.9187,84.09,79,100,8.05
254,Viedma,AR,2022-03-06 22:21:31,-40.8135,-62.9967,79.05,17,100,13.76
255,Iqaluit,CA,2022-03-06 22:21:32,63.7506,-68.5145,-17.03,91,10,7.29
256,Alta Floresta,BR,2022-03-06 22:21:34,-9.8756,-56.0861,73.29,92,56,2.84
257,Kununurra,AU,2022-03-06 22:21:35,-15.7667,128.7333,76.98,94,100,0.0
258,Esfarayen,IR,2022-03-06 22:21:38,37.0765,57.5101,35.26,44,93,3.96
259,Secovce,SK,2022-03-06 22:21:40,48.7007,21.661,33.42,69,15,13.0
260,Sao Domingos,BR,2022-03-06 22:21:40,-13.3983,-46.3183,70.68,87,98,5.37
261,Airai,TL,2022-03-06 22:21:41,-8.9266,125.4092,59.52,84,99,1.88
262,Nouakchott,MR,2022-03-06 22:21:41,18.0858,-15.9785,66.13,63,1,13.53
263,Mount Gambier,AU,2022-03-06 22:18:22,-37.8333,140.7667,59.2,76,16,7.54
