City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
297,Oriximina,BR,-1.7656,-55.8661,73.94,94,98,2.91,overcast clouds
298,Bethel,US,41.3712,-73.414,41.76,72,100,1.61,overcast clouds
299,Guane,CU,22.2025,-84.0875,77.2,80,20,8.43,few clouds
300,Podgorodnyaya Pokrovka,RU,51.8281,54.9874,15.93,94,100,15.99,light snow
301,Zharkent,KZ,44.1628,80.0,40.78,57,88,4.34,overcast clouds
302,Haines Junction,CA,60.7522,-137.5108,33.75,55,100,3.44,overcast clouds
303,Daru,PG,-9.0763,143.2092,80.38,86,100,6.46,moderate rain
304,Okhotsk,RU,59.3833,143.3,22.68,92,100,4.23,overcast clouds
305,Anshun,CN,26.25,105.9333,54.12,96,99,4.25,overcast clouds
306,Odienne,CI,9.51,-7.5692,79.81,17,24,3.96,few clouds
307,Vaitape,PF,-16.5167,-151.75,81.1,72,41,11.01,scattered clouds
308,Waipawa,NZ,-41.4122,175.5153,70.32,58,1,5.84,clear sky
309,Neuquen,AR,-38.9516,-68.0591,67.89,52,0,3.44,clear sky
310,Maridi,SS,4.9158,29.4742,77.99,38,68,4.99,broken clouds
311,Velizh,RU,55.6056,31.1967,13.33,95,61,2.55,broken clouds
312,Almaznyy,RU,48.0448,40.045,19.51,80,19,8.75,few clouds
313,Codrington,AU,-38.2667,141.9667,63.59,55,55,8.28,broken clouds
314,Bud,US,39.447,-86.1758,46.67,64,25,3.4,scattered clouds
315,Melioratorov,RU,57.2107,65.6077,-10.82,84,0,4.47,clear sky
316,Kihei,US,20.785,-156.4656,89.62,61,40,17.27,light rain
317,Sept-Iles,CA,50.2001,-66.3821,25.32,46,75,6.91,broken clouds
318,Fairbanks,US,64.8378,-147.7164,23.02,59,100,13.8,overcast clouds
319,Batagay-Alyta,RU,67.8006,130.4114,-3.15,97,100,1.74,overcast clouds
320,Kurilsk,RU,45.2333,147.8833,36.21,64,86,5.37,overcast clouds
321,Yuzhno-Kurilsk,RU,44.0306,145.8556,34.07,83,79,7.4,broken clouds
322,Mount Gambier,AU,-37.8333,140.7667,62.51,55,40,9.22,scattered clouds
323,Sandwick,GB,60.0,-1.25,46.22,87,20,19.57,few clouds
324,Waingapu,ID,-9.6567,120.2641,81.05,84,53,3.42,broken clouds
325,Majene,ID,-3.5403,118.9707,80.89,82,96,4.36,overcast clouds
326,Lagunas,PE,-5.2269,-75.6753,74.88,98,70,2.17,heavy intensity rain
327,Robertsport,LR,6.7533,-11.3686,79.59,91,91,7.54,overcast clouds
328,Vila Velha,BR,-20.3297,-40.2925,76.95,92,40,3.44,scattered clouds
329,Viedma,AR,-40.8135,-62.9967,59.86,61,30,8.3,scattered clouds
330,Vega De Alatorre,MX,20.0333,-96.6333,72.07,83,46,4.72,scattered clouds
331,Zaraza,VE,9.3503,-65.3245,76.95,79,95,9.22,overcast clouds
332,Ulaanbaatar,MN,47.9077,106.8832,19.53,58,75,4.47,broken clouds
333,Dukat,RU,62.55,155.55,15.66,90,100,2.28,overcast clouds
334,Lazaro Cardenas,MX,17.9583,-102.2,79.11,59,0,10.25,clear sky
335,Aykhal,RU,66.0,111.5,-0.89,99,100,3.44,overcast clouds
336,Qarayeri,AZ,40.7886,46.3066,40.08,81,100,20.71,overcast clouds
337,Ribeira Brava,PT,32.65,-17.0667,65.07,78,80,6.22,broken clouds
338,Griffith,US,41.5284,-87.4237,26.1,88,100,11.5,light snow
339,Burnie,AU,-41.0667,145.9167,61.52,53,2,1.45,clear sky
340,Calvinia,ZA,-31.4707,19.776,79.97,25,24,3.85,few clouds
341,Namtsy,RU,62.7161,129.6658,-5.62,98,99,0.67,overcast clouds
342,Tayu,ID,-6.5397,111.0518,77.94,84,73,2.53,broken clouds
343,Marawi,PH,7.9986,124.2928,74.62,86,46,1.45,scattered clouds
344,Kirakira,SB,-10.4544,161.9205,86.07,68,44,4.12,scattered clouds
